id,event_type,event_data,user_id,inquiry_id,organization_id,created_at
"c8835a61-9e54-4846-89e7-5304006daa93","crsDataRetrieved","{}","towkl9vocs1dleat51fzg","4c534a15-b817-43d6-bc8c-38bf8a22c530","d81dc152-c9d3-048b-1572-1f0c4594bf92","2025-09-10 23:20:34.522+00"
"8aba95e3-099c-40b3-818d-b776898a2d80","taxAccountDataRetrievedBusiness","{}","towkl9vocs1dleat51fzg","4c534a15-b817-43d6-bc8c-38bf8a22c530","d81dc152-c9d3-048b-1572-1f0c4594bf92","2025-09-10 23:15:34.522+00"
"3f3424cd-c6fe-4dee-a2de-2f882436ebd1","completed","{}","towkl9vocs1dleat51fzg","4c534a15-b817-43d6-bc8c-38bf8a22c530","d81dc152-c9d3-048b-1572-1f0c4594bf92","2025-09-10 23:10:34.522+00"
"1e2884e2-bcd8-4cde-b064-ecac58a22d5f","updated","{""section"": ""businessDetails""}","towkl9vocs1dleat51fzg","4c534a15-b817-43d6-bc8c-38bf8a22c530","d81dc152-c9d3-048b-1572-1f0c4594bf92","2025-09-10 22:50:34.522+00"
"2964ae79-08b5-4a07-a28c-015c7e95bac3","taxAccountConnectedBusiness","{}","towkl9vocs1dleat51fzg","4c534a15-b817-43d6-bc8c-38bf8a22c530","d81dc152-c9d3-048b-1572-1f0c4594bf92","2025-09-10 22:45:34.522+00"
"32be5e17-55e1-4b98-a6a6-14a9510ea526","updated","{""section"": ""individualDetails""}","towkl9vocs1dleat51fzg","4c534a15-b817-43d6-bc8c-38bf8a22c530","d81dc152-c9d3-048b-1572-1f0c4594bf92","2025-09-10 22:40:34.522+00"
"0deb0de1-9484-497d-9cbc-d2b20f63aac4","created","{}","towkl9vocs1dleat51fzg","4c534a15-b817-43d6-bc8c-38bf8a22c530","d81dc152-c9d3-048b-1572-1f0c4594bf92","2025-08-31 23:25:34.522+00"
"c6b59775-2064-4df9-bcf9-7e7233fa71fe","crsDataRetrieved","{}","vcjer8l1shrc4n0myngix","b795682e-d22f-4f81-ae08-d465d2b3e647","d81dc152-c9d3-048b-1572-1f0c4594bf92","2025-09-06 10:28:52.733+00"
"e0ccbc8a-3885-44d6-9464-74f1091c0fd9","taxAccountDataRetrievedBusiness","{}","vcjer8l1shrc4n0myngix","b795682e-d22f-4f81-ae08-d465d2b3e647","d81dc152-c9d3-048b-1572-1f0c4594bf92","2025-09-06 10:23:52.733+00"
"235949d4-3e23-46c3-89ce-a059026baf99","completed","{}","vcjer8l1shrc4n0myngix","b795682e-d22f-4f81-ae08-d465d2b3e647","d81dc152-c9d3-048b-1572-1f0c4594bf92","2025-09-06 10:18:52.733+00"
"9e416e90-f9e4-4fc5-b252-05be123c833b","updated","{""section"": ""businessDetails""}","vcjer8l1shrc4n0myngix","b795682e-d22f-4f81-ae08-d465d2b3e647","d81dc152-c9d3-048b-1572-1f0c4594bf92","2025-09-06 09:58:52.733+00"
